Altura (m),Idade,Sexo,Velocidade média (m/s),Cadência,Comprimento médio passada,Erro absoluto médio do comprimento de passo em metros,Desvio padrão comprimento passo medido em metros,Desvio padrão do erro de comprimento de passo em metros,Largura da passada,Erro largura da passada,Desvio padrão largura da passada,Comprimento médio de meio passo em metros,Erro absoluto médio do meio comprimento de passo em metros,Desvio padrão do comprimento médio de meio passo em metros,Desvio padrão do erro de comprimento de meio passo em metros,Comprimento do Swing em metros,Erro absoluto médio do swing em metros,Desvio padrão do swing em metros,Desvio padrão do erro de swing em metros,Comprimento do Stance em metros,Erro absoluto médio do stance em metros,Desvio padrão do stance em metros,Desvio padrão do erro de stance em metros,Distância inicial do pé em metros,Erro absoluto médio da distância entre os pés em metros,Desvio padrão da distância inicial entre os pés,Desvio padrão do erro da distância inicial entre os pés em metros,Ângulo médio de abertura das pernas durante a caminhada (°),Desvio padrão do ângulo médio dos passos em graus,Número de amostras do ângulo,Ângulo médio da coxa do joelho esquerdo,Desvio padrão do ângulo  médio da coxa do joelho esquerdo,Ângulo médio de flexão do joelho esquerdo,Desvio padrão do ângulo de flexão do joelho esquerdo,Ângulo médio de flexão do joelho direito,Desvio padrão do ângulo de flexão do joelho direito,Ângulo extensão do quadril (°),Desvio padrão do ângulo de extensão do quadril (°),Simetria do comprimento de passo,Desvio padrão da simetria do comprimento de passo,Movimento
1.7650,20.00,0,0.3085,6.1028,0.5000,0.5000,0.5000, 0.39,0.3097,-0.1347,0.1051,0.5189,0.0739,0.4091,0.1884, 0.8523,0.4223,0.2089,0.2089,1.0000,0.5400,0.0000 ,0.0000,0.1750, 0.0875,1.4495,5.5502,63,-48.45223666688399,57.831132459141436,62.75416542693118,33.25396122521985,65.35033121659048,27.155559947115634,-53.87537752220376,41.09868127518512,0.2783918874000903,0.2783918874000903,0,,
1.7650,20.00,0,0.4660,16.9141,0.7670,0.4437,0.4437, 0.33,0.3033,-0.1283,0.1040,0.5219,0.0769,0.3171,0.2036, 0.7746,0.3446,0.2255,0.2255,0.8778,0.4178,0.2116 ,0.2116,0.1750, 0.0875,3.3312,8.8108,68,-40.63011614233632,62.58310411750671,59.35080025762227,32.711437878939506,58.86382252672722,30.100547379279792,-52.63748403829205,39.83161790205875,0.5386398212877231,0.4325806315964148,0,,
1.7650,20.00,0,0.7499,21.3320,0.9865,0.2647,0.2647, 0.18,0.2548,-0.0798,0.1280,0.5302,0.0852,0.2693,0.1864, 0.7387,0.3087,0.2141,0.2141,0.8035,0.3435,0.2407 ,0.2407,0.1750, 0.0875,6.3486,11.3267,90,-30.308810641897686,64.91395470095443,45.01685614733108,34.79798076270387,46.74920075891521,31.641430295101653,-43.10666539907303,39.00736966641867,0.6979445519391232,0.46527249408063037,0,,
1.7650,20.00,0,0.9693,23.7473,1.0175,0.2057,0.2057, 0.14,0.2298,-0.0548,0.1272,0.5369,0.0919,0.2381,0.1695, 0.7051,0.2751,0.2093,0.2093,0.7669,0.3069,0.2344 ,0.2344,0.1750, 0.0875,9.3413,13.5614,112,-19.52057891069766,68.03803256360604,38.61535891994127,33.428977144253174,40.42967350180022,31.383029395628682,-36.28573742826999,37.960161249083306,0.7423397834410346,0.4255191433047888,0,,
1.7650,20.00,0,1.0434,27.8234,1.0251,0.2007,0.2007, 0.14,0.2172,-0.0422,0.1287,0.5277,0.0827,0.2171,0.1643, 0.6674,0.2374,0.2147,0.2147,0.7332,0.2732,0.2322 ,0.2322,0.1750, 0.0875,10.4187,13.8334,123,-14.78601488880469,69.84164969375064,38.660428248413766,32.651440111271995,38.43182055358225,31.313004829650076,-33.38671047490397,37.57288967228027,0.7569987394974288,0.38982458798244674,0,,
1.7650,20.00,0,1.0985,25.2286,1.0336,0.1706,0.1706, 0.12,0.2011,-0.0261,0.1191,0.5264,0.0814,0.2017,0.1571, 0.6579,0.2279,0.2024,0.2024,0.6975,0.2375,0.2368 ,0.2337,0.1750, 0.0875,11.3636,13.7764,165,-14.497364629265954,67.37059382551601,33.965408417770306,31.829328311957227,34.94918340611509,30.38736007061925,-22.307513458595643,38.34606962058454,0.837595090829224,0.41137429497965006,0,,
1.7650,20.00,0,1.2357,26.3438,1.0082,0.1636,0.1636, 0.13,0.1923,-0.0173,0.1149,0.5378,0.0928,0.1901,0.1465, 0.6545,0.2245,0.1911,0.1911,0.6863,0.2263,0.2256 ,0.2228,0.1750, 0.0875,13.0642,14.7574,187,-13.237029867630252,67.8084002710738,32.082488156278146,30.600796426500686,33.11635537815481,29.44051369593475,-18.36352040363758,37.98688474969427,0.8643490352231715,0.3912615800627436,0,,
1.7650,20.00,0,1.3084,27.4606,1.0403,0.1637,0.1637, 0.13,0.1850,-0.0100,0.1123,0.5386,0.0936,0.1790,0.1392, 0.6398,0.2098,0.1865,0.1865,0.6758,0.2158,0.2163 ,0.2138,0.1750, 0.0875,14.0569,15.0638,207,-10.17981800503791,67.89712509549844,30.519544985547466,30.059915613043405,31.455350352909978,28.66841089659729,-15.766846814585561,37.17120175944568,0.8653162511661768,0.3688950993238753,0,,
1.7650,20.00,0,1.2453,24.6076,1.1132,0.1480,0.1480, 0.12,0.1766,-0.0016,0.1049,0.5396,0.0946,0.1694,0.1323, 0.6310,0.2010,0.1800,0.1800,0.6648,0.2048,0.2091 ,0.2069,0.1750, 0.0875,13.6061,14.2709,260,-8.832624627186577,68.23488961738055,26.782380990992348,27.737276910813996,26.712191343544802,26.66425709093713,-14.410801711751565,33.73032630008113,0.8766500695155173,0.35161247676957835,0,,
1.7650,20.00,0,1.2658,26.2422,1.1094,0.1429,0.1429, 0.12,0.1705,0.0045,0.1066,0.5354,0.0904,0.1619,0.1290, 0.6174,0.1874,0.1781,0.1781,0.6529,0.1929,0.2041 ,0.2021,0.1750, 0.0875,13.8783,14.2804,272,-7.237524212165704,68.37336806192701,26.273458485172036,27.45348778064977,26.115594897995926,26.367858465175676,-13.8569005267967,33.147614020426495,0.878528890529911,0.33530198528881483,0,,
